year,economicActivity,employment,hours_worked
1999,Miscellaneous store retailers,88200,4.641
2000,Miscellaneous store retailers,105580,4.559
2001,Miscellaneous store retailers,103840,4.526
2002,Miscellaneous store retailers,103820,4.523
2003,Miscellaneous store retailers,106975,4.49
2004,Miscellaneous store retailers,107855,4.482
2005,Miscellaneous store retailers,105085,4.507
2006,Miscellaneous store retailers,107195,4.37
2007,Miscellaneous store retailers,107910,4.225
2008,Miscellaneous store retailers,113635,4.236
2009,Miscellaneous store retailers,105300,4.208
2010,Miscellaneous store retailers,112115,4.2
2011,Miscellaneous store retailers,109095,4.274
2012,Miscellaneous store retailers,113290,4.123
2013,Miscellaneous store retailers,112660,4.195
2014,Miscellaneous store retailers,111915,4.29
2015,Miscellaneous store retailers,113695,4.148
2016,Miscellaneous store retailers,118780,4.156
2017,Miscellaneous store retailers,121495,4.096
2018,Miscellaneous store retailers,124870,4.123
2019,Miscellaneous store retailers,125200,4.115
1997,Non-store retailers,50680,4.118
1998,Non-store retailers,53470,4.315
1999,Non-store retailers,52930,4.296
2000,Non-store retailers,45515,4.633
2001,Non-store retailers,42935,4.701
2002,Non-store retailers,41395,4.614
2003,Non-store retailers,41540,4.721
2004,Non-store retailers,40125,4.707
2005,Non-store retailers,39670,4.647
2006,Non-store retailers,44435,4.556
2007,Non-store retailers,41845,4.548
2008,Non-store retailers,41405,4.638
2009,Non-store retailers,41365,4.43
2010,Non-store retailers,45220,4.337
2011,Non-store retailers,49200,4.422
2012,Non-store retailers,50305,4.29
2013,Non-store retailers,52775,4.534
2014,Non-store retailers,54340,4.545
2015,Non-store retailers,55895,4.523
2016,Non-store retailers,56975,4.474
2017,Non-store retailers,57890,4.444
2018,Non-store retailers,59240,4.408
2019,Non-store retailers,60900,4.46
1997,Air transportation,55020,4.885
1998,Air transportation,59605,4.844
1999,Air transportation,63815,4.827
2000,Air transportation,64050,4.814
2001,Air transportation,59905,4.833
2002,Air transportation,55805,4.879
2003,Air transportation,52570,4.797
2004,Air transportation,51280,4.742
2005,Air transportation,41885,4.778
2006,Air transportation,43500,4.745
2007,Air transportation,46835,4.655
2008,Air transportation,46400,4.542
2009,Air transportation,47790,4.559
2010,Air transportation,51950,4.704
2011,Air transportation,57635,4.638
2012,Air transportation,59675,4.575
2013,Air transportation,59960,4.375
2014,Air transportation,60165,4.627
2015,Air transportation,60930,4.622
2016,Air transportation,67005,4.488
2017,Air transportation,71325,4.438
2018,Air transportation,74710,4.479
2019,Air transportation,75990,4.638
1997,Rail transportation,46015,5.526
1998,Rail transportation,42435,5.567
1999,Rail transportation,44545,5.575
2000,Rail transportation,48815,5.518
2001,Rail transportation,42685,5.444
2002,Rail transportation,42240,5.608
2003,Rail transportation,39510,5.652
2004,Rail transportation,41220,5.822
2005,Rail transportation,41360,5.934
2006,Rail transportation,40235,5.649
2007,Rail transportation,40875,5.616
2008,Rail transportation,38340,5.71
2009,Rail transportation,37620,5.471
2010,Rail transportation,38450,5.666
2011,Rail transportation,40835,5.397
2012,Rail transportation,40265,5.668
2013,Rail transportation,36910,5.759
2014,Rail transportation,38330,5.816
2015,Rail transportation,38045,5.849
2016,Rail transportation,38150,5.816
2017,Rail transportation,38780,5.595
2018,Rail transportation,41945,5.575
2019,Rail transportation,40875,5.611
1997,Water transportation,12795,5.334
1998,Water transportation,12000,5.384
1999,Water transportation,13075,5.266
2000,Water transportation,12765,5.414
2001,Water transportation,13505,5.326
2002,Water transportation,12460,5.205
2003,Water transportation,12275,5.332
2004,Water transportation,12635,5.334
2005,Water transportation,12285,5.742
2006,Water transportation,13610,5.381
2007,Water transportation,14740,5.512
2008,Water transportation,14565,5.477
2009,Water transportation,13580,5.167
2010,Water transportation,15120,5.34
2011,Water transportation,15575,5.112
2012,Water transportation,15185,5.2
2013,Water transportation,14155,5.405
2014,Water transportation,14175,5.378
2015,Water transportation,14955,5.345
2016,Water transportation,14165,5.395
2017,Water transportation,15100,5.405
2018,Water transportation,15995,5.534
2019,Water transportation,15805,5.205
1997,Truck transportation,204415,6.34
1998,Truck transportation,219135,6.447
1999,Truck transportation,228930,6.518
2000,Truck transportation,241555,6.419
2001,Truck transportation,255315,6.381
2002,Truck transportation,259335,6.279
2003,Truck transportation,262005,6.252
2004,Truck transportation,270520,6.337
2005,Truck transportation,274490,6.271
2006,Truck transportation,285225,6.238
2007,Truck transportation,273495,6.186
2008,Truck transportation,267305,6.142
2009,Truck transportation,238815,5.981
2010,Truck transportation,244875,6.071
2011,Truck transportation,245590,6.126
2012,Truck transportation,245795,6.033
2013,Truck transportation,248110,5.992
2014,Truck transportation,248325,6.082
2015,Truck transportation,254605,6.033
2016,Truck transportation,255360,5.948
2017,Truck transportation,260705,5.986
2018,Truck transportation,274425,6.049
2019,Truck transportation,281620,5.992
1997,"Transit, ground passenger and scenic and sightseeing transportation",98945,5.145
1998,"Transit, ground passenger and scenic and sightseeing transportation",102360,5.304
1999,"Transit, ground passenger and scenic and sightseeing transportation",104550,5.277
2000,"Transit, ground passenger and scenic and sightseeing transportation",104830,5.2
2001,"Transit, ground passenger and scenic and sightseeing transportation",104885,5.164
2002,"Transit, ground passenger and scenic and sightseeing transportation",111025,5.145
2003,"Transit, ground passenger and scenic and sightseeing transportation",115900,5.159
2004,"Transit, ground passenger and scenic and sightseeing transportation",114945,5.205
2005,"Transit, ground passenger and scenic and sightseeing transportation",112635,5.049
2006,"Transit, ground passenger and scenic and sightseeing transportation",115455,5.112
2007,"Transit, ground passenger and scenic and sightseeing transportation",123365,5.033
2008,"Transit, ground passenger and scenic and sightseeing transportation",120790,5.134
2009,"Transit, ground passenger and scenic and sightseeing transportation",127965,5.038
2010,"Transit, ground passenger and scenic and sightseeing transportation",137735,5.047
2011,"Transit, ground passenger and scenic and sightseeing transportation",142270,5.033
2012,"Transit, ground passenger and scenic and sightseeing transportation",144770,4.948
2013,"Transit, ground passenger and scenic and sightseeing transportation",148265,4.964
2014,"Transit, ground passenger and scenic and sightseeing transportation",150515,5.027
2015,"Transit, ground passenger and scenic and sightseeing transportation",153045,5.129
2016,"Transit, ground passenger and scenic and sightseeing transportation",154900,5.049
2017,"Transit, ground passenger and scenic and sightseeing transportation",157635,4.992
2018,"Transit, ground passenger and scenic and sightseeing transportation",163710,5.011
2019,"Transit, ground passenger and scenic and sightseeing transportation",167215,4.918
1997,Support activities for transportation,96910,5.414
1998,Support activities for transportation,93165,5.416
1999,Support activities for transportation,93465,5.337
2000,Support activities for transportation,88430,5.378
2001,Support activities for transportation,88535,5.266
2002,Support activities for transportation,88985,5.252
2003,Support activities for transportation,89315,5.197
2004,Support activities for transportation,91225,5.293
2005,Support activities for transportation,88930,5.203
2006,Support activities for transportation,95990,5.277
2007,Support activities for transportation,102305,5.268
2008,Support activities for transportation,103195,5.301
2009,Support activities for transportation,105580,5.288
2010,Support activities for transportation,111665,5.31
2011,Support activities for transportation,117590,5.219
2012,Support activities for transportation,124390,5.216
2013,Support activities for transportation,130410,5.019
2014,Support activities for transportation,135310,5.145
2015,Support activities for transportation,145260,5.263
2016,Support activities for transportation,150620,5.255
2017,Support activities for transportation,158440,5.101
2018,Support activities for transportation,163535,5.252
2019,Support activities for transportation,166345,5.118
1997,Pipeline transportation,6850,5.542
1998,Pipeline transportation,6730,5.474
1999,Pipeline transportation,7125,5.441
2000,Pipeline transportation,6785,5.359
2001,Pipeline transportation,7005,5.351
2002,Pipeline transportation,6890,5.301
2003,Pipeline transportation,7415,5.356
2004,Pipeline transportation,7335,5.43
2005,Pipeline transportation,6335,5.479
2006,Pipeline transportation,5890,5.419
2007,Pipeline transportation,5615,5.389
2008,Pipeline transportation,5630,5.468
2009,Pipeline transportation,5435,5.277
2010,Pipeline transportation,6925,5.277
2011,Pipeline transportation,7185,5.386
2012,Pipeline transportation,7510,5.518
2013,Pipeline transportation,9625,5.54
2014,Pipeline transportation,9075,5.353
2015,Pipeline transportation,9640,5.268
2016,Pipeline transportation,10360,5.304
2017,Pipeline transportation,10985,5.266
2018,Pipeline transportation,11605,5.312
2019,Pipeline transportation,12230,5.11
1997,Postal service and couriers and messengers,123325,5.129
1998,Postal service and couriers and messengers,125480,5.041
1999,Postal service and couriers and messengers,126185,5.055
2000,Postal service and couriers and messengers,125930,4.926
2001,Postal service and couriers and messengers,121075,4.918
2002,Postal service and couriers and messengers,119810,4.893
2003,Postal service and couriers and messengers,121555,4.888
2004,Postal service and couriers and messengers,122365,4.904
2005,Postal service and couriers and messengers,123490,4.795
2006,Postal service and couriers and messengers,121440,4.885
2007,Postal service and couriers and messengers,128410,4.855
2008,Postal service and couriers and messengers,125505,4.871
2009,Postal service and couriers and messengers,124910,4.797
2010,Postal service and couriers and messengers,127570,4.803
2011,Postal service and couriers and messengers,122630,4.759
2012,Postal service and couriers and messengers,120215,4.789
2013,Postal service and couriers and messengers,122690,4.71
2014,Postal service and couriers and messengers,122055,4.723
2015,Postal service and couriers and messengers,114135,4.789
2016,Postal service and couriers and messengers,115040,4.726
2017,Postal service and couriers and messengers,122250,4.729
2018,Postal service and couriers and messengers,128270,4.742
2019,Postal service and couriers and messengers,132935,4.696
1997,Warehousing and storage,20645,5.115
1998,Warehousing and storage,21265,5.249
1999,Warehousing and storage,23125,5.247
2000,Warehousing and storage,23045,5.134
2001,Warehousing and storage,23020,5.351
2002,Warehousing and storage,23820,5.195
2003,Warehousing and storage,25700,5.329
2004,Warehousing and storage,30520,5.268
2005,Warehousing and storage,30395,5.216
2006,Warehousing and storage,33930,5.345
2007,Warehousing and storage,36470,5.252
2008,Warehousing and storage,37230,5.077
2009,Warehousing and storage,41530,5.058
2010,Warehousing and storage,38760,5.025
2011,Warehousing and storage,40705,5.104
2012,Warehousing and storage,41150,5.137
2013,Warehousing and storage,41675,5.255
2014,Warehousing and storage,41440,5.181
2015,Warehousing and storage,42045,5.205
2016,Warehousing and storage,43975,5.11
2017,Warehousing and storage,50615,5.014
2018,Warehousing and storage,58055,5.104
2019,Warehousing and storage,63480,4.992
1997,Publishing industries (except internet),70695,4.696
1998,Publishing industries (except internet),77105,4.556
1999,Publishing industries (except internet),78320,4.742
2000,Publishing industries (except internet),80825,4.616
2001,Publishing industries (except internet),86050,4.526
2002,Publishing industries (except internet),89170,4.425
2003,Publishing industries (except internet),89235,4.512
2004,Publishing industries (except internet),91235,4.625
2005,Publishing industries (except internet),92120,4.622
2006,Publishing industries (except internet),92270,4.605
2007,Publishing industries (except internet),93330,4.641
2008,Publishing industries (except internet),92285,4.671
2009,Publishing industries (except internet),85405,4.614
2010,Publishing industries (except internet),88050,4.622
2011,Publishing industries (except internet),91685,4.668
2012,Publishing industries (except internet),93015,4.619
2013,Publishing industries (except internet),91470,4.534
2014,Publishing industries (except internet),91705,4.625
2015,Publishing industries (except internet),90490,4.696
2016,Publishing industries (except internet),87235,4.819
2017,Publishing industries (except internet),85335,4.734
2018,Publishing industries (except internet),85990,4.827
2019,Publishing industries (except internet),86090,4.814
1997,Motion picture and sound recording industries,25585,4.984
1998,Motion picture and sound recording industries,30710,4.959
1999,Motion picture and sound recording industries,34160,5.123
2000,Motion picture and sound recording industries,35950,4.795
2001,Motion picture and sound recording industries,37880,4.959
2002,Motion picture and sound recording industries,41210,4.507
2003,Motion picture and sound recording industries,41090,4.455
2004,Motion picture and sound recording industries,41025,4.567
2005,Motion picture and sound recording industries,37905,4.6
2006,Motion picture and sound recording industries,39815,4.496
2007,Motion picture and sound recording industries,39695,4.605
2008,Motion picture and sound recording industries,42425,4.449
2009,Motion picture and sound recording industries,45360,4.551
2010,Motion picture and sound recording industries,42420,4.405
2011,Motion picture and sound recording industries,44735,4.556
2012,Motion picture and sound recording industries,45540,4.616
2013,Motion picture and sound recording industries,48930,4.562
2014,Motion picture and sound recording industries,55985,4.595
2015,Motion picture and sound recording industries,62455,4.666
2016,Motion picture and sound recording industries,71935,4.921
2017,Motion picture and sound recording industries,75725,4.784
2018,Motion picture and sound recording industries,78165,4.86
2019,Motion picture and sound recording industries,76845,4.781
1997,Broadcasting (except internet),33200,4.901
1998,Broadcasting (except internet),33915,4.803
1999,Broadcasting (except internet),35720,4.874
2000,Broadcasting (except internet),35705,4.77
2001,Broadcasting (except internet),35290,4.753
2002,Broadcasting (except internet),35740,4.844
2003,Broadcasting (except internet),38435,4.595
2004,Broadcasting (except internet),37180,4.63
2005,Broadcasting (except internet),35835,4.688
2006,Broadcasting (except internet),37410,4.584
2007,Broadcasting (except internet),36410,4.781
2008,Broadcasting (except internet),37120,4.773
2009,Broadcasting (except internet),35445,4.762
2010,Broadcasting (except internet),34985,4.775
2011,Broadcasting (except internet),36780,4.674
2012,Broadcasting (except internet),35550,4.674
2013,Broadcasting (except internet),35595,4.729
2014,Broadcasting (except internet),34160,4.537
2015,Broadcasting (except internet),34755,4.499
2016,Broadcasting (except internet),34155,4.616
2017,Broadcasting (except internet),34545,4.603
2018,Broadcasting (except internet),34770,4.71
2019,Broadcasting (except internet),34140,4.737
1997,Telecommunications,109830,5.099
1998,Telecommunications,120570,5.044
1999,Telecommunications,131565,5.11
2000,Telecommunications,139920,5.126
2001,Telecommunications,134045,5.112
2002,Telecommunications,137800,5.005
2003,Telecommunications,131345,4.981
2004,Telecommunications,135255,5.096
2005,Telecommunications,131700,5.066
2006,Telecommunications,132740,4.94
2007,Telecommunications,139995,4.97
2008,Telecommunications,140500,4.97
2009,Telecommunications,140495,4.937
2010,Telecommunications,139595,5.005
2011,Telecommunications,136885,5.016
2012,Telecommunications,138670,4.97
2013,Telecommunications,126750,5.003
2014,Telecommunications,115935,5.068
2015,Telecommunications,115880,5.058
2016,Telecommunications,119810,5.079
2017,Telecommunications,130270,4.992
2018,Telecommunications,130430,5.049
2019,Telecommunications,125365,4.989
1997,"Data processing, hosting, and related services",7935,5.145
1998,"Data processing, hosting, and related services",9090,5.022
1999,"Data processing, hosting, and related services",9855,5.019
2000,"Data processing, hosting, and related services",11465,4.981
2001,"Data processing, hosting, and related services",11845,4.951
2002,"Data processing, hosting, and related services",11635,4.981
2003,"Data processing, hosting, and related services",12020,4.778
2004,"Data processing, hosting, and related services",12570,4.888
2005,"Data processing, hosting, and related services",12995,4.94
2006,"Data processing, hosting, and related services",13630,4.781
2007,"Data processing, hosting, and related services",13810,4.964
2008,"Data processing, hosting, and related services",15320,5.003
2009,"Data processing, hosting, and related services",14610,4.868
2010,"Data processing, hosting, and related services",16600,4.893
2011,"Data processing, hosting, and related services",17245,4.844
2012,"Data processing, hosting, and related services",19010,4.863
2013,"Data processing, hosting, and related services",17080,4.849
2014,"Data processing, hosting, and related services",15935,4.858
2015,"Data processing, hosting, and related services",17690,4.937
2016,"Data processing, hosting, and related services",19685,4.871
2017,"Data processing, hosting, and related services",20125,5.014
2018,"Data processing, hosting, and related services",20830,4.984
2019,"Data processing, hosting, and related services",21365,4.855
1997,Other information services,18400,3.715
1998,Other information services,17830,3.668
1999,Other information services,17005,3.548
2000,Other information services,17960,3.836
2001,Other information services,18580,3.627
2002,Other information services,19885,3.836
2003,Other information services,22215,3.488
2004,Other information services,20865,3.6
2005,Other information services,21215,3.414
2006,Other information services,22555,3.436
2007,Other information services,22760,3.279
2008,Other information services,23085,3.575
2009,Other information services,26440,3.353
2010,Other information services,26975,3.578
2011,Other information services,26835,3.444
2012,Other information services,26820,3.46
2013,Other information services,31740,3.556
2014,Other information services,32355,3.323
2015,Other information services,36750,3.367
2016,Other information services,38660,3.359
2017,Other information services,37195,3.408
2018,Other information services,37000,3.238
2019,Other information services,38845,3.54
1997,Depository credit intermediation and monetary authorities,416925,4.737
1998,Depository credit intermediation and monetary authorities,394880,4.688
1999,Depository credit intermediation and monetary authorities,382345,4.652
2000,Depository credit intermediation and monetary authorities,403115,4.693
2001,Depository credit intermediation and monetary authorities,401515,4.663
2002,Depository credit intermediation and monetary authorities,380895,4.666
2003,Depository credit intermediation and monetary authorities,387575,4.658
2004,Depository credit intermediation and monetary authorities,387075,4.674
2005,Depository credit intermediation and monetary authorities,401330,4.693
2006,Depository credit intermediation and monetary authorities,401715,4.74
2007,Depository credit intermediation and monetary authorities,411190,4.647
2008,Depository credit intermediation and monetary authorities,416915,4.712
2009,Depository credit intermediation and monetary authorities,417260,4.658
2010,Depository credit intermediation and monetary authorities,434370,4.677
2011,Depository credit intermediation and monetary authorities,450595,4.726
2012,Depository credit intermediation and monetary authorities,451235,4.775
2013,Depository credit intermediation and monetary authorities,459935,4.753
2014,Depository credit intermediation and monetary authorities,462740,4.77
2015,Depository credit intermediation and monetary authorities,455130,4.83
2016,Depository credit intermediation and monetary authorities,448990,4.868
2017,Depository credit intermediation and monetary authorities,452085,4.797
2018,Depository credit intermediation and monetary authorities,434520,4.822
2019,Depository credit intermediation and monetary authorities,450360,4.833
1997,Non-depository credit intermediation,21060,4.967
1998,Non-depository credit intermediation,21620,4.789
1999,Non-depository credit intermediation,29170,4.704
2000,Non-depository credit intermediation,31500,4.682
2001,Non-depository credit intermediation,33590,4.816
2002,Non-depository credit intermediation,37130,4.721
2003,Non-depository credit intermediation,37285,4.811
2004,Non-depository credit intermediation,38930,4.819
2005,Non-depository credit intermediation,42015,4.767
2006,Non-depository credit intermediation,44850,4.789
2007,Non-depository credit intermediation,60010,4.797
2008,Non-depository credit intermediation,57755,4.937
2009,Non-depository credit intermediation,48035,4.934
2010,Non-depository credit intermediation,46715,4.915
2011,Non-depository credit intermediation,43095,4.745
2012,Non-depository credit intermediation,34905,4.808
2013,Non-depository credit intermediation,35545,4.737
2014,Non-depository credit intermediation,36840,4.718
2015,Non-depository credit intermediation,36675,4.789
2016,Non-depository credit intermediation,40025,4.89
2017,Non-depository credit intermediation,41645,4.918
2018,Non-depository credit intermediation,39565,4.89
2019,Non-depository credit intermediation,43440,4.808
1997,Activities related to credit intermediation,7330,5.219
1998,Activities related to credit intermediation,9825,5.186
1999,Activities related to credit intermediation,10555,5.112
2000,Activities related to credit intermediation,9480,5.071
2001,Activities related to credit intermediation,9580,5.044
2002,Activities related to credit intermediation,10145,5.038
2003,Activities related to credit intermediation,11400,4.997
2004,Activities related to credit intermediation,15335,5.107
2005,Activities related to credit intermediation,19755,5.159
2006,Activities related to credit intermediation,23130,5
2007,Activities related to credit intermediation,16925,5.104
2008,Activities related to credit intermediation,18725,4.995
2009,Activities related to credit intermediation,27925,4.942
2010,Activities related to credit intermediation,28375,5.03
2011,Activities related to credit intermediation,27825,4.868
2012,Activities related to credit intermediation,29340,4.951
2013,Activities related to credit intermediation,29325,4.962
2014,Activities related to credit intermediation,29370,5.071
2015,Activities related to credit intermediation,29300,4.942
2016,Activities related to credit intermediation,29665,5.011
2017,Activities related to credit intermediation,30350,5.052
2018,Activities related to credit intermediation,30630,5.014
2019,Activities related to credit intermediation,31095,4.888
1997,Insurance carriers and related activities,234875,5.167
1998,Insurance carriers and related activities,225540,5.096
1999,Insurance carriers and related activities,228695,5.003
2000,Insurance carriers and related activities,229660,4.989
2001,Insurance carriers and related activities,222960,4.91
2002,Insurance carriers and related activities,214530,4.814
2003,Insurance carriers and related activities,208080,4.737
2004,Insurance carriers and related activities,216055,4.781
2005,Insurance carriers and related activities,212345,4.833
2006,Insurance carriers and related activities,211750,4.819
2007,Insurance carriers and related activities,208860,4.767
2008,Insurance carriers and related activities,202640,4.8
2009,Insurance carriers and related activities,201525,4.778
2010,Insurance carriers and related activities,209400,4.742
2011,Insurance carriers and related activities,217000,4.721
2012,Insurance carriers and related activities,215020,4.795
2013,Insurance carriers and related activities,213810,4.805
2014,Insurance carriers and related activities,217800,4.756
2015,Insurance carriers and related activities,221610,4.759
2016,Insurance carriers and related activities,228225,4.811
2017,Insurance carriers and related activities,237085,4.751
2018,Insurance carriers and related activities,236800,4.715
2019,Insurance carriers and related activities,235515,4.74
1997,"Financial investment services, funds and other financial vehicles",77420,5.414
1998,"Financial investment services, funds and other financial vehicles",85920,5.351
1999,"Financial investment services, funds and other financial vehicles",106275,5.268
2000,"Financial investment services, funds and other financial vehicles",113195,5.312
2001,"Financial investment services, funds and other financial vehicles",118430,5.096
2002,"Financial investment services, funds and other financial vehicles",129120,5.145
2003,"Financial investment services, funds and other financial vehicles",133455,5.047
2004,"Financial investment services, funds and other financial vehicles",152415,5.063
2005,"Financial investment services, funds and other financial vehicles",165490,4.964
2006,"Financial investment services, funds and other financial vehicles",176960,5.104
2007,"Financial investment services, funds and other financial vehicles",186290,5.011
2008,"Financial investment services, funds and other financial vehicles",195750,5.008
2009,"Financial investment services, funds and other financial vehicles",173005,4.975
2010,"Financial investment services, funds and other financial vehicles",181450,4.888
2011,"Financial investment services, funds and other financial vehicles",182630,4.841
2012,"Financial investment services, funds and other financial vehicles",173060,4.962
2013,"Financial investment services, funds and other financial vehicles",174520,5.036
2014,"Financial investment services, funds and other financial vehicles",180105,5.058
2015,"Financial investment services, funds and other financial vehicles",182200,5.052
2016,"Financial investment services, funds and other financial vehicles",189285,5.186
2017,"Financial investment services, funds and other financial vehicles",198195,4.97
2018,"Financial investment services, funds and other financial vehicles",188695,5.019
2019,"Financial investment services, funds and other financial vehicles",187535,4.97
1997,Real estate,149465,4.803
1998,Real estate,156410,4.967
1999,Real estate,157615,4.934
2000,Real estate,168760,4.984
2001,Real estate,173675,4.882
2002,Real estate,184125,4.775
2003,Real estate,201490,4.814
2004,Real estate,204660,4.816
2005,Real estate,218985,4.819
2006,Real estate,233140,4.737
2007,Real estate,247450,4.784
2008,Real estate,255480,4.69
2009,Real estate,256855,4.726
2010,Real estate,265785,4.756
2011,Real estate,272225,4.584
2012,Real estate,274675,4.847
2013,Real estate,276740,4.773
2014,Real estate,275970,4.679
2015,Real estate,290075,4.729
2016,Real estate,298645,4.704
2017,Real estate,312030,4.611
2018,Real estate,312295,4.575
2019,Real estate,316740,4.649
1997,Rental and leasing services,78540,4.723
1998,Rental and leasing services,80520,4.66
1999,Rental and leasing services,81195,4.871
2000,Rental and leasing services,81125,4.833
2001,Rental and leasing services,87740,4.77
2002,Rental and leasing services,84550,4.844
2003,Rental and leasing services,85310,4.723
2004,Rental and leasing services,87630,4.805
2005,Rental and leasing services,90485,4.756
2006,Rental and leasing services,85965,4.858
2007,Rental and leasing services,84385,4.732
2008,Rental and leasing services,85000,4.833
2009,Rental and leasing services,78330,4.767
2010,Rental and leasing services,74145,5.014
2011,Rental and leasing services,74730,4.984
2012,Rental and leasing services,73175,5.162
2013,Rental and leasing services,71715,5.104
2014,Rental and leasing services,72150,5.14
2015,Rental and leasing services,72400,5.112
2016,Rental and leasing services,71305,5.096
2017,Rental and leasing services,72590,5.181
2018,Rental and leasing services,73870,5.263
2019,Rental and leasing services,74615,5.077
1997,Lessors of non-financial intangible assets (except copyrighted works),3120,5.285
1998,Lessors of non-financial intangible assets (except copyrighted works),4585,5.096
1999,Lessors of non-financial intangible assets (except copyrighted works),8385,5.151
2000,Lessors of non-financial intangible assets (except copyrighted works),12295,5.162
2001,Lessors of non-financial intangible assets (except copyrighted works),8355,5.14
2002,Lessors of non-financial intangible assets (except copyrighted works),8665,5.093
2003,Lessors of non-financial intangible assets (except copyrighted works),8610,5.06
2004,Lessors of non-financial intangible assets (except copyrighted works),9495,5.038
2005,Lessors of non-financial intangible assets (except copyrighted works),8415,5.022
2006,Lessors of non-financial intangible assets (except copyrighted works),9520,4.912
2007,Lessors of non-financial intangible assets (except copyrighted works),11705,4.929
2008,Lessors of non-financial intangible assets (except copyrighted works),9775,4.921
2009,Lessors of non-financial intangible assets (except copyrighted works),8445,4.83
2010,Lessors of non-financial intangible assets (except copyrighted works),8010,4.899
2011,Lessors of non-financial intangible assets (except copyrighted works),8810,4.8
2012,Lessors of non-financial intangible assets (except copyrighted works),9440,5.005
2013,Lessors of non-financial intangible assets (except copyrighted works),9635,4.923
2014,Lessors of non-financial intangible assets (except copyrighted works),9335,4.945
2015,Lessors of non-financial intangible assets (except copyrighted works),9835,4.997
2016,Lessors of non-financial intangible assets (except copyrighted works),8970,4.942
2017,Lessors of non-financial intangible assets (except copyrighted works),8470,4.962
2018,Lessors of non-financial intangible assets (except copyrighted works),8970,4.921
2019,Lessors of non-financial intangible assets (except copyrighted works),8815,4.945
1997,"Legal, accounting and related services",199800,5.142
1998,"Legal, accounting and related services",204950,5.134
1999,"Legal, accounting and related services",199100,5.192
2000,"Legal, accounting and related services",200075,5.058
2001,"Legal, accounting and related services",210535,4.997
2002,"Legal, accounting and related services",210675,5.014
2003,"Legal, accounting and related services",211360,4.956
2004,"Legal, accounting and related services",209240,4.986
2005,"Legal, accounting and related services",217580,4.833
2006,"Legal, accounting and related services",226035,4.819
2007,"Legal, accounting and related services",242590,4.827
2008,"Legal, accounting and related services",246725,4.825
2009,"Legal, accounting and related services",236015,4.77
2010,"Legal, accounting and related services",248260,4.715
2011,"Legal, accounting and related services",250000,4.8
2012,"Legal, accounting and related services",243860,4.825
2013,"Legal, accounting and related services",249950,4.866
2014,"Legal, accounting and related services",253885,4.742
2015,"Legal, accounting and related services",263815,4.833
2016,"Legal, accounting and related services",272775,4.866
2017,"Legal, accounting and related services",278180,4.784
2018,"Legal, accounting and related services",284165,4.795
2019,"Legal, accounting and related services",296690,4.805
1997,"Architectural, engineering and related services",133055,5.488
1998,"Architectural, engineering and related services",148395,5.501
1999,"Architectural, engineering and related services",136180,5.512
2000,"Architectural, engineering and related services",140615,5.521
2001,"Architectural, engineering and related services",142410,5.444
2002,"Architectural, engineering and related services",145315,5.299
2003,"Architectural, engineering and related services",151325,5.296
2004,"Architectural, engineering and related services",158960,5.359
2005,"Architectural, engineering and related services",168735,5.4
2006,"Architectural, engineering and related services",176295,5.37
2007,"Architectural, engineering and related services",175915,5.392
2008,"Architectural, engineering and related services",198885,5.312
2009,"Architectural, engineering and related services",194645,5.164
2010,"Architectural, engineering and related services",203490,5.277
2011,"Architectural, engineering and related services",215150,5.301
2012,"Architectural, engineering and related services",228395,5.255
2013,"Architectural, engineering and related services",203885,5.241
2014,"Architectural, engineering and related services",204650,5.296
2015,"Architectural, engineering and related services",209640,5.241
2016,"Architectural, engineering and related services",212195,5.219
2017,"Architectural, engineering and related services",220365,5.203
2018,"Architectural, engineering and related services",221290,5.175
2019,"Architectural, engineering and related services",233070,5.107
1997,"Other professional, scientific and technical services including scientific research and development",168195,4.86
1998,"Other professional, scientific and technical services including scientific research and development",199150,4.896
1999,"Other professional, scientific and technical services including scientific research and development",207380,5.06
2000,"Other professional, scientific and technical services including scientific research and development",236360,5
2001,"Other professional, scientific and technical services including scientific research and development",245905,4.912
2002,"Other professional, scientific and technical services including scientific research and development",244745,4.797
2003,"Other professional, scientific and technical services including scientific research and development",270525,4.762
2004,"Other professional, scientific and technical services including scientific research and development",281485,4.734
2005,"Other professional, scientific and technical services including scientific research and development",291265,4.732
2006,"Other professional, scientific and technical services including scientific research and development",310700,4.69
2007,"Other professional, scientific and technical services including scientific research and development",328000,4.74
2008,"Other professional, scientific and technical services including scientific research and development",347065,4.66
2009,"Other professional, scientific and technical services including scientific research and development",325345,4.529
2010,"Other professional, scientific and technical services including scientific research and development",322870,4.523
2011,"Other professional, scientific and technical services including scientific research and development",326565,4.581
2012,"Other professional, scientific and technical services including scientific research and development",322035,4.589
2013,"Other professional, scientific and technical services including scientific research and development",346990,4.562
2014,"Other professional, scientific and technical services including scientific research and development",344470,4.515
2015,"Other professional, scientific and technical services including scientific research and development",336195,4.603
2016,"Other professional, scientific and technical services including scientific research and development",347690,4.482
2017,"Other professional, scientific and technical services including scientific research and development",352440,4.499
2018,"Other professional, scientific and technical services including scientific research and development",356905,4.57
2019,"Other professional, scientific and technical services including scientific research and development",370775,4.463
1997,Computer systems design and related services,90980,5.436
1998,Computer systems design and related services,114805,5.37
1999,Computer systems design and related services,145670,5.367
2000,Computer systems design and related services,163555,5.315
